National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q3666649,United States of America,1,Charles B. Black,1947,1
http://www.wikidata.org/entity/Q3675009,United States of America,1,Chink Crossin,1947,1
http://www.wikidata.org/entity/Q3702301,United States of America,1,Danny Wagner,1947,1
http://www.wikidata.org/entity/Q3706951,United States of America,1,Dick Holub,1947,1
http://www.wikidata.org/entity/Q3706955,United States of America,1,Dick Mehen,1947,1
http://www.wikidata.org/entity/Q3706959,United States of America,1,Dick O'Keefe,1947,1
http://www.wikidata.org/entity/Q4017860,United States of America,1,Walt Lautenbach,1947,1
http://www.wikidata.org/entity/Q5476003,United States of America,1,Jim Springer,1947,1
http://www.wikidata.org/entity/Q514456,United States of America,1,Dolph Schayes,1948,1
http://www.wikidata.org/entity/Q522252,United States of America,1,Ed Peterson,1948,1
http://www.wikidata.org/entity/Q129408,United States of America,1,Kenny Rollins,1948,1
http://www.wikidata.org/entity/Q1583705,United States of America,1,Dan Kraus,1948,1
http://www.wikidata.org/entity/Q1607296,United States of America,1,Billy Gabor,1948,1
http://www.wikidata.org/entity/Q1609980,United States of America,1,Jack Nichols,1948,1
http://www.wikidata.org/entity/Q387141,United States of America,1,Alex Hannum,1948,1
http://www.wikidata.org/entity/Q2335790,United States of America,1,Howie Shannon,1948,1
http://www.wikidata.org/entity/Q2354467,United States of America,1,Joe Graboski,1948,1
http://www.wikidata.org/entity/Q1621440,United States of America,1,Johnny Bach,1948,1
http://www.wikidata.org/entity/Q1623270,United States of America,1,Arnie Ferrin,1948,1
http://www.wikidata.org/entity/Q3718861,United States of America,1,Ed Mikan,1948,1
http://www.wikidata.org/entity/Q3786702,United States of America,1,Hoot Gibson,1948,1
http://www.wikidata.org/entity/Q1624907,United States of America,1,Earl Gardner,1948,1
http://www.wikidata.org/entity/Q3805550,United States of America,1,Jack Burmaster,1948,1
http://www.wikidata.org/entity/Q3805566,United States of America,1,Jack Cotton,1948,1
http://www.wikidata.org/entity/Q3806275,United States of America,1,Jake Carter,1948,1
http://www.wikidata.org/entity/Q3808314,United States of America,1,Jim Browne,1948,1
http://www.wikidata.org/entity/Q667302,United States of America,1,Tom Kelly,1948,1
http://www.wikidata.org/entity/Q2586552,United States of America,1,Gene Berce,1948,1
http://www.wikidata.org/entity/Q16019753,United States of America,1,"Murray Mendenhall, Jr.",1948,1
http://www.wikidata.org/entity/Q888707,United States of America,1,Bobby Wanzer,1948,1
http://www.wikidata.org/entity/Q942651,United States of America,1,Bobby Cook,1948,1
http://www.wikidata.org/entity/Q2736555,United States of America,1,Ray Lumpp,1948,1
http://www.wikidata.org/entity/Q2834367,United States of America,1,Leo Katkaveck,1948,1
http://www.wikidata.org/entity/Q3080302,United States of America,1,Whitey Kachan,1948,1
http://www.wikidata.org/entity/Q3274025,United States of America,1,Easy Parham,1948,1
http://www.wikidata.org/entity/Q963613,United States of America,1,Harry Gallatin,1948,1
http://www.wikidata.org/entity/Q964594,United States of America,1,Bob Brannum,1948,1
http://www.wikidata.org/entity/Q965969,United States of America,1,Andy Tonkovich,1948,1
http://www.wikidata.org/entity/Q1623295,United States of America,1,Mel McGaha,1948,1
http://www.wikidata.org/entity/Q1640480,United States of America,1,Donnie Forman,1948,1
http://www.wikidata.org/entity/Q3333435,United States of America,1,D. C. Wilcutt,1948,1
http://www.wikidata.org/entity/Q3329090,United States of America,1,Leo Kubiak,1948,1
http://www.wikidata.org/entity/Q3867448,United States of America,1,Murray Wier,1948,1
http://www.wikidata.org/entity/Q3880868,United States of America,1,Odie Spears,1948,1
http://www.wikidata.org/entity/Q3901325,United States of America,1,Phil Farbman,1948,1
http://www.wikidata.org/entity/Q3335438,United States of America,1,Ward Williams,1948,1
http://www.wikidata.org/entity/Q3384094,United States of America,1,Roy Pugh,1948,1
http://www.wikidata.org/entity/Q3607496,United States of America,1,Al Guokas,1948,1
http://www.wikidata.org/entity/Q3610515,United States of America,1,Lionel Malamed,1948,1
http://www.wikidata.org/entity/Q3616549,United States of America,1,Andy Kostecka,1948,1
http://www.wikidata.org/entity/Q1121377,United States of America,1,Jake Bornheimer,1948,1
http://www.wikidata.org/entity/Q1238917,United States of America,1,Don Barksdale,1948,1
http://www.wikidata.org/entity/Q3643531,United States of America,1,Brady Walker,1948,1
http://www.wikidata.org/entity/Q3707680,United States of America,1,Dillard Crocker,1948,1
http://www.wikidata.org/entity/Q4017850,United States of America,1,Walt Budko,1948,1
http://www.wikidata.org/entity/Q4025934,United States of America,1,Dick Wehr,1948,1
http://www.wikidata.org/entity/Q4120772,United States of America,1,Herb Krautblatt,1948,1
http://www.wikidata.org/entity/Q4490728,United States of America,1,John Hazen,1948,1
http://www.wikidata.org/entity/Q5224559,United States of America,1,Darrel Brown,1948,1
http://www.wikidata.org/entity/Q7297443,United States of America,1,Ray Ellefson,1948,1
http://www.wikidata.org/entity/Q8962740,United States of America,1,Fred Paine,1948,1
http://www.wikidata.org/entity/Q505500,United States of America,1,Ed Macauley,1949,1
http://www.wikidata.org/entity/Q524167,United States of America,1,Bob Brown,1949,1
